Task Name,Start Time,Duration,Deadline
Mornning Tea,7:00,1,
shedual,7:30,1,
Brekfast,10:00,1,
bath,13:00,1,
Lunch,13:30,1,
Evening Tea,17:00,1,
Dinner,20:00,1,
FPGA,,4,20:00
Clock,,2,21:59
art,,2,
clean,,1,
learn new,,8,
